,efficiency,uncertainity,capability,exit_flag,noinal_eff
1,0.7024753282607642,0.0,2.0,3.0,0.7024753281659358
2,0.7321428593079283,0.0,2.0,3.0,0.7321428571428572
3,0.6256732495619228,0.0,2.0,3.0,0.625673249551167
4,0.5681629162356108,0.0,2.0,3.0,0.5681629162351316
5,1.0,0.0,0.0,0.0,1.0
6,0.632486391886424,0.0,2.0,3.0,0.6324863883847549
7,1.0,0.0,0.0,0.0,1.0
8,0.6864740252820539,0.0,2.0,3.0,0.6864740251997298
9,0.7275534603306834,0.0,2.0,3.0,0.7275534594795751
10,0.900179872456596,0.0,2.0,3.0,0.900179872454078
11,0.6838962390789393,0.0,2.0,3.0,0.6838962390774371
12,0.7432247341450607,0.0,2.0,3.0,0.7432247341448777
13,0.9696566486362664,0.0,2.0,3.0,0.9696566486361401
14,0.7545781075274727,0.0,2.0,3.0,0.7545781075192839
15,0.9305740996673216,0.0,2.0,3.0,0.9305740987983978
16,0.7435483870971817,0.0,2.0,3.0,0.7435483870967742
17,1.0,0.0,0.0,0.0,1.0
18,0.7008353382036795,0.0,2.0,3.0,0.7008353381448811
19,0.6719329481734442,0.0,2.0,3.0,0.6719329479665098
20,0.5857142870550244,0.0,2.0,3.0,0.5857142857142857
21,0.8637094109519112,0.0,2.0,3.0,0.8637094109519088
22,0.8965393522294288,0.0,2.0,3.0,0.8965393522293618
23,0.8490787731084023,0.0,2.0,3.0,0.8490787730306742
24,0.777901785714462,0.0,2.0,3.0,0.7779017857142857
25,0.7408221165189689,0.0,2.0,3.0,0.7408221165127243
26,0.8773962710103862,0.0,2.0,3.0,0.8773962697912417
27,0.9117608195932739,0.0,2.0,3.0,0.911760818419731
28,0.8116004513483133,0.0,2.0,3.0,0.8116004504345989
29,1.0,0.0,0.0,0.0,1.0
30,0.7115568215762034,0.0,2.0,3.0,0.7115568215610473
31,0.9419520706489289,0.0,2.0,3.0,0.9419520706383091
32,0.9095964057389102,0.0,2.0,3.0,0.9095964034613306
33,0.7120753684027087,0.0,2.0,3.0,0.7120753683826264
34,0.7536795355070617,0.0,2.0,3.0,0.7536795354586484
35,0.7608844824542986,0.0,2.0,3.0,0.7608844818424298
36,0.6665268259934213,0.0,2.0,3.0,0.6665268239789333
37,0.6933632019232712,0.0,2.0,3.0,0.6933631987069176
38,0.8724294129554727,0.0,2.0,3.0,0.8724294045426642
39,0.7506660484481561,0.0,2.0,3.0,0.7506660484270254
40,0.7743025779160967,0.0,2.0,3.0,0.7743025763978542
41,0.6263586956551845,0.0,2.0,3.0,0.626358695652174
42,0.8093245972369908,0.0,2.0,3.0,0.8093245951706806
43,0.9204032338016683,0.0,2.0,3.0,0.9204032338016999
44,0.8590684759602891,0.0,2.0,3.0,0.8590684759559152
45,0.9751891831183671,0.0,2.0,3.0,0.9751891831170023
46,0.8094215437817628,0.0,2.0,3.0,0.8094215436999616
47,0.8245089928609058,0.0,2.0,3.0,0.8245089928608635
48,0.8446165881112202,0.0,2.0,3.0,0.8446165841751981
49,0.7218933614028804,0.0,2.0,3.0,0.7218933613961238
50,0.7741688091622848,0.0,2.0,3.0,0.7741688091620896
51,1.0,0.0,0.0,0.0,1.0
52,0.8605600061108938,0.0,2.0,3.0,0.860560002760334
53,0.79351999252455,0.0,2.0,3.0,0.7935199925086618
54,0.9700607735757409,0.0,2.0,3.0,0.970060773480663
55,0.6819595034064502,0.0,2.0,3.0,0.6819595034056878
56,0.7873276413783413,0.0,2.0,3.0,0.7873276413855951
57,0.9332380664486941,0.0,2.0,3.0,0.9332380661071707
58,0.8251457516854994,0.0,2.0,3.0,0.8251457448830873
59,0.9266032417196326,0.0,2.0,3.0,0.9266032417195208
60,0.8876307146007931,0.0,2.0,3.0,0.8876307017944385
61,0.8627216762529554,0.0,2.0,3.0,0.8627216752013632
62,0.8186180500667125,0.0,2.0,3.0,0.8186180500583498
63,0.9100048240846433,0.0,2.0,3.0,0.9100048240144902
